Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-11-08,8:00p,Los Angeles Lakers,94.0,Houston Rockets,128.0
2023-11-08,8:00p,Miami Heat,108.0,Memphis Grizzlies,102.0
2023-11-08,8:00p,Detroit Pistons,118.0,Milwaukee Bucks,120.0
2023-11-08,8:00p,New Orleans Pelicans,101.0,Minnesota Timberwolves,122.0
2023-11-08,8:00p,Cleveland Cavaliers,120.0,Oklahoma City Thunder,128.0
2023-11-08,8:30p,Toronto Raptors,127.0,Dallas Mavericks,116.0
2023-11-08,10:00p,Golden State Warriors,105.0,Denver Nuggets,108.0
2023-11-08,10:00p,Portland Trail Blazers,118.0,Sacramento Kings,121.0
2023-11-09,7:00p,Milwaukee Bucks,124.0,Indiana Pacers,126.0
2023-11-09,9:30p,Atlanta Hawks,120.0,Orlando Magic,119.0
2023-11-10,7:00p,Philadelphia 76ers,114.0,Detroit Pistons,106.0
2023-11-10,7:00p,Charlotte Hornets,124.0,Washington Wizards,117.0
2023-11-10,7:30p,Brooklyn Nets,107.0,Boston Celtics,121.0
2023-11-10,8:00p,New Orleans Pelicans,101.0,Houston Rockets,104.0
2023-11-10,8:00p,Utah Jazz,127.0,Memphis Grizzlies,121.0
2023-11-10,8:00p,Minnesota Timberwolves,117.0,San Antonio Spurs,110.0
2023-11-10,8:30p,Los Angeles Clippers,126.0,Dallas Mavericks,144.0
2023-11-10,10:00p,Los Angeles Lakers,122.0,Phoenix Suns,119.0
2023-11-10,10:00p,Oklahoma City Thunder,98.0,Sacramento Kings,105.0
2023-11-11,6:00p,Milwaukee Bucks,97.0,Orlando Magic,112.0
2023-11-11,7:00p,Toronto Raptors,94.0,Boston Celtics,117.0
2023-11-11,7:30p,Miami Heat,117.0,Atlanta Hawks,109.0
2023-11-11,8:30p,Cleveland Cavaliers,118.0,Golden State Warriors,110.0
2023-11-12,12:00p,Charlotte Hornets,107.0,New York Knicks,129.0
2023-11-12,3:00p,Washington Wizards,94.0,Brooklyn Nets,102.0
2023-11-12,3:30p,Memphis Grizzlies,105.0,Los Angeles Clippers,101.0
2023-11-12,6:00p,Indiana Pacers,126.0,Philadelphia 76ers,137.0
2023-11-12,7:00p,Detroit Pistons,108.0,Chicago Bulls,119.0
2023-11-12,7:00p,Denver Nuggets,104.0,Houston Rockets,107.0
2023-11-12,7:00p,Dallas Mavericks,136.0,New Orleans Pelicans,124.0
2023-11-12,7:00p,Miami Heat,118.0,San Antonio Spurs,113.0
2023-11-12,8:00p,Oklahoma City Thunder,111.0,Phoenix Suns,99.0
2023-11-12,8:30p,Minnesota Timberwolves,116.0,Golden State Warriors,110.0
2023-11-12,10:00p,Portland Trail Blazers,110.0,Los Angeles Lakers,116.0
2023-11-13,7:30p,New York Knicks,98.0,Boston Celtics,114.0
2023-11-13,7:30p,Washington Wizards,107.0,Toronto Raptors,111.0
2023-11-13,8:00p,Chicago Bulls,109.0,Milwaukee Bucks,118.0
2023-11-13,10:00p,Cleveland Cavaliers,120.0,Sacramento Kings,132.0
2023-11-14,7:00p,Miami Heat,111.0,Charlotte Hornets,105.0
2023-11-14,7:00p,Atlanta Hawks,126.0,Detroit Pistons,120.0
2023-11-14,7:00p,Indiana Pacers,132.0,Philadelphia 76ers,126.0
2023-11-14,7:30p,Orlando Magic,104.0,Brooklyn Nets,124.0
2023-11-14,7:30p,San Antonio Spurs,87.0,Oklahoma City Thunder,123.0
2023-11-14,8:00p,Dallas Mavericks,110.0,New Orleans Pelicans,131.0
2023-11-14,9:00p,Portland Trail Blazers,99.0,Utah Jazz,115.0
2023-11-14,10:00p,Los Angeles Clippers,108.0,Denver Nuggets,111.0
2023-11-14,10:00p,Minnesota Timberwolves,104.0,Golden State Warriors,101.0
2023-11-14,10:30p,Memphis Grizzlies,107.0,Los Angeles Lakers,134.0
2023-11-15,7:00p,Dallas Mavericks,130.0,Washington Wizards,117.0
2023-11-15,7:30p,New York Knicks,116.0,Atlanta Hawks,114.0
2023-11-15,7:30p,Boston Celtics,117.0,Philadelphia 76ers,107.0
2023-11-15,7:30p,Milwaukee Bucks,128.0,Toronto Raptors,112.0
2023-11-15,8:00p,Orlando Magic,96.0,Chicago Bulls,94.0
2023-11-15,9:00p,Minnesota Timberwolves,115.0,Phoenix Suns,133.0
2023-11-15,10:00p,Sacramento Kings,125.0,Los Angeles Lakers,110.0
2023-11-15,10:00p,Cleveland Cavaliers,109.0,Portland Trail Blazers,95.0
2023-11-16,7:30p,Brooklyn Nets,115.0,Miami Heat,122.0
2023-11-16,10:00p,Oklahoma City Thunder,128.0,Golden State Warriors,109.0
2023-11-17,7:00p,Milwaukee Bucks,130.0,Charlotte Hornets,99.0
2023-11-17,7:00p,New York Knicks,120.0,Washington Wizards,99.0
2023-11-17,7:30p,Philadelphia 76ers,126.0,Atlanta Hawks,116.0
2023-11-17,7:30p,Detroit Pistons,100.0,Cleveland Cavaliers,108.0
2023-11-17,7:30p,Sacramento Kings,129.0,San Antonio Spurs,120.0
2023-11-17,7:30p,Boston Celtics,108.0,Toronto Raptors,105.0
2023-11-17,8:00p,Orlando Magic,103.0,Chicago Bulls,97.0
2023-11-17,8:00p,Denver Nuggets,110.0,New Orleans Pelicans,115.0
2023-11-17,10:00p,Los Angeles Lakers,107.0,Portland Trail Blazers,95.0
2023-11-17,10:00p,Phoenix Suns,131.0,Utah Jazz,128.0
2023-11-17,10:30p,Houston Rockets,100.0,Los Angeles Clippers,106.0
2023-11-18,6:00p,New York Knicks,122.0,Charlotte Hornets,108.0
2023-11-18,7:00p,Minnesota Timberwolves,121.0,New Orleans Pelicans,120.0
2023-11-18,8:00p,Miami Heat,97.0,Chicago Bulls,102.0
2023-11-18,8:00p,Dallas Mavericks,125.0,Milwaukee Bucks,132.0
2023-11-18,8:00p,Memphis Grizzlies,120.0,San Antonio Spurs,108.0
2023-11-18,8:30p,Oklahoma City Thunder,130.0,Golden State Warriors,123.0
2023-11-19,3:00p,Philadelphia 76ers,121.0,Brooklyn Nets,99.0
2023-11-19,4:00p,Detroit Pistons,113.0,Toronto Raptors,142.0
2023-11-19,5:00p,Orlando Magic,128.0,Indiana Pacers,116.0
2023-11-19,6:00p,Denver Nuggets,109.0,Cleveland Cavaliers,121.0
2023-11-19,7:30p,Sacramento Kings,129.0,Dallas Mavericks,113.0
2023-11-19,8:00p,Boston Celtics,102.0,Memphis Grizzlies,100.0
2023-11-19,8:00p,Phoenix Suns,140.0,Utah Jazz,137.0
2023-11-19,9:00p,Oklahoma City Thunder,134.0,Portland Trail Blazers,91.0
2023-11-19,9:30p,Houston Rockets,104.0,Los Angeles Lakers,105.0
2023-11-20,7:00p,Boston Celtics,118.0,Charlotte Hornets,121.0
2023-11-20,7:00p,Denver Nuggets,107.0,Detroit Pistons,103.0
2023-11-20,7:00p,Milwaukee Bucks,142.0,Washington Wizards,129.0
2023-11-20,8:00p,Miami Heat,118.0,Chicago Bulls,100.0
2023-11-20,8:00p,New York Knicks,100.0,Minnesota Timberwolves,117.0
2023-11-20,8:00p,Sacramento Kings,93.0,New Orleans Pelicans,129.0
2023-11-20,8:00p,Los Angeles Clippers,124.0,San Antonio Spurs,99.0
2023-11-20,10:00p,Houston Rockets,116.0,Golden State Warriors,121.0
2023-11-21,7:00p,Toronto Raptors,107.0,Orlando Magic,126.0
2023-11-21,7:30p,Indiana Pacers,157.0,Atlanta Hawks,152.0
2023-11-21,7:30p,Cleveland Cavaliers,122.0,Philadelphia 76ers,119.0
2023-11-21,9:00p,Portland Trail Blazers,107.0,Phoenix Suns,120.0
2023-11-21,10:00p,Utah Jazz,99.0,Los Angeles Lakers,131.0
2023-11-22,7:00p,Washington Wizards,114.0,Charlotte Hornets,117.0
