Date,Time,Visitor,PTS Visitor,Home,PTS Home
2023-11-26,6:00p,Phoenix Suns,116,New York Knicks,113
2023-11-26,6:00p,Charlotte Hornets,117,Orlando Magic,130
2023-11-26,7:30p,Chicago Bulls,109,Brooklyn Nets,118
2023-11-26,7:30p,Toronto Raptors,102,Cleveland Cavaliers,105
2023-11-26,8:00p,San Antonio Spurs,120,Denver Nuggets,132
2023-11-27,7:00p,Washington Wizards,126,Detroit Pistons,107
2023-11-27,7:00p,Portland Trail Blazers,114,Indiana Pacers,110
2023-11-27,7:00p,Los Angeles Lakers,94,Philadelphia 76ers,138
2023-11-27,9:00p,New Orleans Pelicans,112,Utah Jazz,114
2023-11-27,10:30p,Denver Nuggets,113,Los Angeles Clippers,104
2023-11-28,7:30p,Chicago Bulls,97,Boston Celtics,124
2023-11-28,7:30p,Toronto Raptors,103,Brooklyn Nets,115
2023-11-28,7:30p,Atlanta Hawks,105,Cleveland Cavaliers,128
2023-11-28,7:30p,Milwaukee Bucks,131,Miami Heat,124
2023-11-28,7:30p,Charlotte Hornets,91,New York Knicks,115
2023-11-28,8:00p,Oklahoma City Thunder,103,Minnesota Timberwolves,106
2023-11-28,8:30p,Houston Rockets,115,Dallas Mavericks,121
2023-11-28,10:00p,Golden State Warriors,123,Sacramento Kings,124
2023-11-29,7:00p,Los Angeles Lakers,133,Detroit Pistons,107
2023-11-29,7:00p,Washington Wizards,120,Orlando Magic,139
2023-11-29,7:30p,Phoenix Suns,105,Toronto Raptors,112
2023-11-29,8:00p,Utah Jazz,91,Memphis Grizzlies,105
2023-11-29,8:00p,Philadelphia 76ers,114,New Orleans Pelicans,124
2023-11-29,9:00p,Houston Rockets,124,Denver Nuggets,134
2023-11-29,10:00p,Los Angeles Clippers,131,Sacramento Kings,117
2023-11-30,7:00p,Portland Trail Blazers,103,Cleveland Cavaliers,95
2023-11-30,7:30p,Charlotte Hornets,129,Brooklyn Nets,128
2023-11-30,7:30p,Indiana Pacers,132,Miami Heat,142
2023-11-30,7:30p,Detroit Pistons,112,New York Knicks,118
2023-11-30,8:00p,Milwaukee Bucks,113,Chicago Bulls,120
2023-11-30,8:00p,Utah Jazz,90,Minnesota Timberwolves,101
2023-11-30,8:00p,Los Angeles Lakers,110,Oklahoma City Thunder,133
2023-11-30,8:00p,Atlanta Hawks,137,San Antonio Spurs,135
2023-11-30,10:00p,Los Angeles Clippers,114,Golden State Warriors,120
2023-12-01,7:00p,Washington Wizards,125,Orlando Magic,130
2023-12-01,7:30p,Philadelphia 76ers,119,Boston Celtics,125
2023-12-01,7:30p,Memphis Grizzlies,108,Dallas Mavericks,94
2023-12-01,7:30p,New York Knicks,119,Toronto Raptors,106
2023-12-01,8:00p,San Antonio Spurs,106,New Orleans Pelicans,121
2023-12-01,10:00p,Denver Nuggets,119,Phoenix Suns,111
2023-12-02,4:00p,Golden State Warriors,112,Los Angeles Clippers,113
2023-12-02,5:00p,Minnesota Timberwolves,123,Charlotte Hornets,117
2023-12-02,7:00p,Orlando Magic,101,Brooklyn Nets,129
2023-12-02,7:00p,Cleveland Cavaliers,110,Detroit Pistons,101
2023-12-02,8:00p,New Orleans Pelicans,118,Chicago Bulls,124
2023-12-02,8:00p,Indiana Pacers,144,Miami Heat,129
2023-12-02,8:00p,Atlanta Hawks,121,Milwaukee Bucks,132
2023-12-02,9:00p,Oklahoma City Thunder,126,Dallas Mavericks,120
2023-12-02,9:00p,Memphis Grizzlies,109,Phoenix Suns,116
2023-12-02,9:30p,Portland Trail Blazers,113,Utah Jazz,118
2023-12-02,10:00p,Denver Nuggets,117,Sacramento Kings,123
2023-12-02,10:30p,Houston Rockets,97,Los Angeles Lakers,107
2023-12-04,7:30p,Boston Celtics,112,Indiana Pacers,122
2023-12-04,10:00p,New Orleans Pelicans,127,Sacramento Kings,117
2023-12-05,7:30p,New York Knicks,122,Milwaukee Bucks,146
2023-12-05,10:00p,Phoenix Suns,103,Los Angeles Lakers,106
2023-12-06,7:00p,Orlando Magic,111,Cleveland Cavaliers,121
2023-12-06,7:00p,Memphis Grizzlies,116,Detroit Pistons,102
2023-12-06,7:00p,Philadelphia 76ers,131,Washington Wizards,126
2023-12-06,7:30p,Brooklyn Nets,114,Atlanta Hawks,113
2023-12-06,7:30p,San Antonio Spurs,94,Minnesota Timberwolves,102
2023-12-06,7:30p,Miami Heat,112,Toronto Raptors,103
2023-12-06,8:00p,Charlotte Hornets,100,Chicago Bulls,111
2023-12-06,8:00p,Oklahoma City Thunder,101,Houston Rockets,110
2023-12-06,8:30p,Utah Jazz,97,Dallas Mavericks,147
2023-12-06,10:00p,Portland Trail Blazers,106,Golden State Warriors,110
2023-12-06,10:00p,Denver Nuggets,102,Los Angeles Clippers,111
2023-12-07,5:00p,Indiana Pacers,128,Milwaukee Bucks,119
2023-12-07,9:00p,New Orleans Pelicans,89,Los Angeles Lakers,133
2023-12-08,7:00p,Toronto Raptors,116,Charlotte Hornets,119
2023-12-08,7:00p,Detroit Pistons,91,Orlando Magic,123
2023-12-08,7:00p,Atlanta Hawks,114,Philadelphia 76ers,125
2023-12-08,7:30p,New York Knicks,123,Boston Celtics,133
2023-12-08,7:30p,Washington Wizards,97,Brooklyn Nets,124
2023-12-08,8:00p,Minnesota Timberwolves,127,Memphis Grizzlies,103
2023-12-08,8:00p,Cleveland Cavaliers,111,Miami Heat,99
2023-12-08,8:00p,Golden State Warriors,136,Oklahoma City Thunder,138
2023-12-08,8:30p,Chicago Bulls,121,San Antonio Spurs,112
2023-12-08,9:00p,Houston Rockets,114,Denver Nuggets,106
2023-12-08,9:00p,Sacramento Kings,114,Phoenix Suns,106
2023-12-08,10:00p,Dallas Mavericks,125,Portland Trail Blazers,112
2023-12-08,10:00p,Los Angeles Clippers,117,Utah Jazz,103
2023-12-09,8:30p,Indiana Pacers,109,Los Angeles Lakers,123
2023-12-11,7:00p,Miami Heat,116,Charlotte Hornets,114
2023-12-11,7:00p,Indiana Pacers,131,Detroit Pistons,123
2023-12-11,7:00p,Cleveland Cavaliers,94,Orlando Magic,104
2023-12-11,7:00p,Washington Wizards,101,Philadelphia 76ers,146
2023-12-11,7:30p,Denver Nuggets,129,Atlanta Hawks,122
2023-12-11,7:30p,Toronto Raptors,130,New York Knicks,136
2023-12-11,8:00p,San Antonio Spurs,82,Houston Rockets,93
2023-12-11,8:00p,Dallas Mavericks,120,Memphis Grizzlies,113
2023-12-11,8:00p,Chicago Bulls,129,Milwaukee Bucks,133
2023-12-11,8:00p,Minnesota Timberwolves,107,New Orleans Pelicans,121
2023-12-11,8:00p,Utah Jazz,120,Oklahoma City Thunder,134
2023-12-11,10:00p,Brooklyn Nets,118,Sacramento Kings,131
2023-12-11,10:30p,Portland Trail Blazers,127,Los Angeles Clippers,132
2023-12-12,7:30p,Cleveland Cavaliers,113,Boston Celtics,120
2023-12-12,7:30p,Los Angeles Lakers,125,Dallas Mavericks,127
2023-12-12,8:00p,Denver Nuggets,114,Chicago Bulls,106
2023-12-12,10:00p,Golden State Warriors,116,Phoenix Suns,119
2023-12-12,10:30p,Sacramento Kings,99,Los Angeles Clippers,119
2023-12-13,7:00p,Philadelphia 76ers,129,Detroit Pistons,111
2023-12-13,7:00p,New Orleans Pelicans,142,Washington Wizards,122
2023-12-13,7:30p,Charlotte Hornets,104,Miami Heat,115
2023-12-13,7:30p,Atlanta Hawks,128,Toronto Raptors,135
2023-12-13,8:00p,Memphis Grizzlies,104,Houston Rockets,117
2023-12-13,8:00p,Indiana Pacers,126,Milwaukee Bucks,140
2023-12-13,8:00p,Los Angeles Lakers,122,San Antonio Spurs,119
2023-12-13,9:00p,Brooklyn Nets,116,Phoenix Suns,112
2023-12-13,9:00p,New York Knicks,113,Utah Jazz,117
2023-12-14,7:30p,Cleveland Cavaliers,107,Boston Celtics,116
2023-12-14,7:30p,Chicago Bulls,124,Miami Heat,116
2023-12-14,8:30p,Minnesota Timberwolves,119,Dallas Mavericks,101
2023-12-14,9:00p,Brooklyn Nets,101,Denver Nuggets,124
2023-12-14,10:00p,Utah Jazz,122,Portland Trail Blazers,114
2023-12-14,10:00p,Oklahoma City Thunder,123,Sacramento Kings,128
2023-12-14,10:30p,Golden State Warriors,113,Los Angeles Clippers,121
2023-12-15,7:00p,New Orleans Pelicans,112,Charlotte Hornets,107
2023-12-15,7:00p,Detroit Pistons,92,Philadelphia 76ers,124
2023-12-15,7:00p,Indiana Pacers,123,Washington Wizards,137
2023-12-15,7:30p,Orlando Magic,111,Boston Celtics,128
2023-12-15,7:30p,Los Angeles Lakers,115,San Antonio Spurs,129
2023-12-15,7:30p,Atlanta Hawks,125,Toronto Raptors,104
2023-12-15,8:00p,Houston Rockets,103,Memphis Grizzlies,96
2023-12-15,10:00p,New York Knicks,139,Phoenix Suns,122
2023-12-16,6:00p,Detroit Pistons,114,Milwaukee Bucks,146
2023-12-16,7:00p,Philadelphia 76ers,135,Charlotte Hornets,82
2023-12-16,7:30p,Atlanta Hawks,119,Cleveland Cavaliers,127
2023-12-16,8:00p,Chicago Bulls,116,Miami Heat,118
2023-12-16,8:00p,Indiana Pacers,109,Minnesota Timberwolves,127
2023-12-16,8:30p,Brooklyn Nets,120,Golden State Warriors,124
2023-12-16,9:00p,Oklahoma City Thunder,118,Denver Nuggets,117
2023-12-16,9:00p,Dallas Mavericks,131,Portland Trail Blazers,120
2023-12-16,10:00p,Utah Jazz,104,Sacramento Kings,125
2023-12-16,10:30p,New York Knicks,122,Los Angeles Clippers,144
2023-12-17,3:00p,Orlando Magic,97,Boston Celtics,114
2023-12-17,3:30p,New Orleans Pelicans,146,San Antonio Spurs,110
2023-12-17,7:00p,Houston Rockets,119,Milwaukee Bucks,128
2023-12-17,8:00p,Washington Wizards,108,Phoenix Suns,112
2023-12-17,9:00p,Golden State Warriors,118,Portland Trail Blazers,114
2023-12-18,7:00p,Houston Rockets,130,Cleveland Cavaliers,135
2023-12-18,7:00p,Los Angeles Clippers,151,Indiana Pacers,127
2023-12-18,7:00p,Chicago Bulls,108,Philadelphia 76ers,104
2023-12-18,7:30p,Detroit Pistons,124,Atlanta Hawks,130
2023-12-18,7:30p,Minnesota Timberwolves,112,Miami Heat,108
2023-12-18,7:30p,Charlotte Hornets,99,Toronto Raptors,114
2023-12-18,8:00p,Memphis Grizzlies,97,Oklahoma City Thunder,116
2023-12-18,9:00p,Dallas Mavericks,104,Denver Nuggets,130
2023-12-18,9:00p,Brooklyn Nets,108,Utah Jazz,125
2023-12-18,10:00p,Washington Wizards,131,Sacramento Kings,143
2023-12-18,10:30p,New York Knicks,114,Los Angeles Lakers,109
2023-12-19,7:30p,Memphis Grizzlies,115,New Orleans Pelicans,113
2023-12-19,8:00p,San Antonio Spurs,119,Milwaukee Bucks,132
2023-12-19,10:00p,Boston Celtics,126,Golden State Warriors,132
2023-12-19,10:00p,Phoenix Suns,104,Portland Trail Blazers,109
